index,names,simplified_names
1,"['HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE' 'HDPE'
 'polyethylene wax oxidized' 'polyethylene wax' 'polyethylene wax'
 'broodcomb' 'polyethylene wax' 'polyethylene wax'
 'polyethylene wax oxidized' 'sealing ring EPDM' 'sealing ring EPDM'
 'sealing ring Gardena 1124 large' 'sealing ring Gardena 1124 small'
 'sealing ring Gardena 2824 large' 'sealing ring Gardena 2824 small'
 'sealing ring Gardena 2824 medium' 'honeycomb' 'ethylene acrylic acid'
 'ethylene ethyl acrylate' 'ethylene methacrylic acid'
 'ethylene propylene' 'ethylene vinyl acetate' 'ethylene vinyl acetate'
 'ethylene vinyl acetate' 'ethylene vinyl alcohol'
 'ethylene vinyl alcohol' 'polyethylene high density'
 'honeycomb freshly removed with nectar' 'honeycomb freshly removed'
 'polyethylene high density' 'polyethylene high density'
 'polyethylene high density' 'broodcomb once brooded'
 'polyethylene foamed' 'polyethylene low density'
 'polyethylene low density' 'polyethylene low density'
 'polyethylene low density' 'polyethylene low density'
 'polyethylene low density' 'polyethylene high density'
 'honeycomb middle wall' 'honeycomb top bar' 'poly(1 butene) isotactic'
 'poly(vinyl stearate)' 'polyamide resin' 'polyethylene low density'
 'polyethylene chlorinated' 'polyethylene chlorinated'
 'polyethylene high density' 'polyethylene low density'
 'polyethylene oxidized' 'polyethylene low density linear'
 'polyethylene low density' 'polyethylene low density'
 'polyethylene high density' 'polyethylene high density'
 'polyethylene high density' 'windscreen wiper rubber' 'black broodcomb'
 'styrene ethylene butylene' 'fibre thermoplastic elastomere'
 'polyethylene high density' 'polyethylene low density' 'polyamide 66'
 'Polyethylene' 'Polyethylene' 'polyethylene' 'PE+silicate+bio'
 'PE with silicate inorganic'
 'Polyethylene with acryloid and pthalocyanine (blue)' 'Polyethylene']",polyethylene
2,"['PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'amber'
 'polyester epoxide' 'epoxide resin' 'polyester' 'polyester epoxide'
 'copolyester' 'copolyester' 'copolyester' 'copolyester' 'copolyester'
 'polytehylene terephthalate' 'polytehylene terephthalate'
 'methyl vinyl ether maleic acid' 'methyl vinyl ether maleic anhydride'
 'polyimide' 'polytehylene terephthalate' 'polyester'
 'polybuthylene terephthalate' 'polybuthylene terephthalate' 'copolyester'
 'polyester' 'polytehylene terephthalate'
 'polytehylene terephthalate amorphous' 'polytehylene terephthalate'
 'poly(acrylic acid)' 'poly(butylene terephthalate)'
 'poly(ethylene terephthalate)' 'fibre polyester' 'fibre polyester'
 'polyethylene terephtalate' 'polyetherester' 'polyester' 'polyester'
 'polyethylene terephthalate' 'Polyester' 'Polyester'
 'polyesterterpthalate' 'poly(ethylene terepthalate)' 'PET'
 'polyesterterpthalate']",polyester
3,"['fur alpaca' 'fur angora rabbit' 'fur camel' 'wool cashmere crossbred'
 'wool cashmere kasakhstan' 'wool cashmere mongolia'
 'fur cat european shorthair' 'chitin crangon antonia' 'copolyamide'
 'copolyamide' 'fur cow' 'crangon  chitin exuvie' 'fur dog' 'copolyamide'
 'fur lama' 'merino scoured wool made rough' 'fur mohair angora goat'
 'polyamide' 'fibre mulberry silk' 'nylon 6 (3)  T' 'nylon 6' 'nylon 6 6'
 'nylon 6 9' 'nylon 6 12' 'nylon 11' 'nylon 12'
 'fibre polyamide 6 (not)stretched' 'fibre polyamide 6' 'polyamide 6'
 'polyamide 6' 'polyamide 6' 'fibre polyamide 6 P6.6' 'polymaide 66'
 'wool raw cashmere afghanistan' 'wool raw cashmere mongolia'
 'fur red deer' 'copolyamide' 'copolyamide' 'polyamide'
 'scoured wool  not made rough' 'fibre silk slubbing' 'fibre tussah silk'
 'fur wild boar' 'wool' 'wool slubbing fine' 'wool slubbing rough'
 'wool sheep supersoft' 'fur yak' 'fur yak bleached' 'zein purified']",polyamide
4,"['algae fucus serratus' 'algae laminaria digita and hyperborea'
 'algae laminaria sacharina' 'alginic acid  sodium salt' 'cellulose'
 'cellulose' 'chitin from crustacean shells' 'fibre cocoanut'
 'fibre cotton combers' 'fibre cotton US pima' 'fibre cotton uzbekistan'
 'ethyl cellulose' 'fibre urtica dioica L conar fibra' 'fibre flax'
 'fibre grass' 'fibre hemp fine' 'fibre hemp rough' 'wood beech'
 'wood pine' 'wood mahagoni' 'hydroxyethyl cellulose'
 'hydroxypropyl cellulose' 'hydroxypropyl methyl cellulose'
 'fibre indian raw cotton' 'fibre jute' 'fibre kapok' 'cellulose wipe'
 'fibre linen' 'fibre linen' 'methyl cellulose' 'fibre poplar down'
 'fibre poplar down' 'fibre roasted flax' 'fibre turf' 'fibre viscose'
 'fibre viscose dyed' 'papercup_cellulosic' 'leaf-plant-' 'cellulose'
 'cellulose' 'Cardboard/cellulose' 'Cellulose']",cellulose
5,"['acrylonitrile butadiene styrene' 'polyhydroxybutyric acid'
 'butyl methacrylate isobutyl methacrolate' 'alkyd varnish'
 'alkyd varnish' 'polyurethane acrylic resin'
 'lahmian medium acrylic paint' 'alkyd varnish' 'alkyd varnish'
 'polyvinylchloride' 'polyesterurethane'
 'poly(2 hydroxyethyl methacrylate)' 'poly(diallyl isophthalate)'
 'poly(ethyl methacrylate)' 'poly(isobutyl methacrylate)'
 'poly(methyl methacrylate)' 'poly(n butyl methacrylate)'
 'polycaprolactone' 'polycaprolactone' 'polyurethane' 'polyurethane'
 'polyurethane' 'polyurethane' 'polyurethane' 'styrene butyl methacrylate'
 'vinyl chloride vinyl acetate hydroxypropyl acrylate'
 'polymethyl methacrylate' 'Pthalate and propyl alcohol mix'
 'Polyethereamide' 'PMMA']",polyester/alkyd
6,"['HDPE' 'HDPE' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET' 'PET'
 'PET' 'PET' 'PET' 'PET' 'PET' 'poly(tetrafluoroethylene)'
 'polytetrafluoroethylene' 'Teflon/PTFE' 'Teflon/PTFE']",PTFE
7,"['polystyrene expanded' 'polystyrene expanded' 'polystyrene' 'polystyrene'
 'polystyrene' 'polystyrene' 'styrene acrylonitrile'
 'styrene acrylonitrile' 'styrene acrylonitrile' 'styrene allyl alcohol'
 'styrene maleic anhydride'
 'styrene maleic anhydride partial methyl ester' 'polystyrene'
 'polystyrene' 'Styrofoam']",polystyrene
8,"['polypropylene' 'polypropylene' 'poly(4 methyl 1 pentene)'
 'fibre polypropylene' 'fibre polypropylene dyed'
 'polypropylene isotactic' 'polypropylene' 'polypropylene' 'polypropylene'
 'polypropylene' 'polypropylene' 'polypropylene' 'styrene isoprene'
 'polypropylene' 'Polypropylene  with silicate mix']",polypropylene
9,"['fibre acetate' 'cellulose acetate' 'cellulose acetate butyrate'
 'cellulose triacetate' 'cellulose propionate' 'wood glue'
 'poly(vinyl acetate)' 'polyvinyl alcohol' 'vinyl chloride vinyl acetate'
 'vinyl chloride vinyl acetate maleic acid' 'cigarette filter' 'Acrylic'
 'Acrylic']",acrylic
10,"['silicone rubber' 'poly(vinyl formal)' 'polyethylene chlorinated'
 'silicone seal reactor' 'resin dispersion' 'PVA with Kaolin clay' 'PDMS'
 'PDMS' 'silicone/PDMS']",silicone rubber
11,"['polycarbonate' 'polyester' 'polyester' 'polycarbonate' 'polycarbonate'
 'polycarbonate' 'polycarbonate' 'polycarbonate' 'polycarbonate']",polycarbonate
12,"['HDPE' 'acrylonitrile butadiene styrene' 'algae desmarestia viridis'
 'ethylene vinyl alcohol' 'poly(vinyl alcohol)' 'poly(vinyl alcohol)'
 'fibre polyvinyl alcohol' 'vinylidene chloride acrylonitrile']",poly(vinyl alcohol)
13,"['polyesterurethane' 'polyesterurethane' 'polyetherurethane'
 'polyetherurethane' 'polyurethane' 'polyurethane' 'polyurethane'
 'Polyether urethane with additives']",polyurethane
14,['HDPE' 'HDPE' 'HDPE' 'HDPE' 'PET' 'PET' 'PET'],unresolved polyethylene
15,"['polyvinylchloride' 'poly(vinyl chloride)'
 'poly(vinyl chloride) carboxylated' 'polyisoprene chlorinated'
 'polyvinylchloride with plasticizer' 'vinylidene chloride vinyl chloride'
 'polyvinylchloride']",polyvinyl chloride
16,['coal' 'coal' 'coal' 'coal' 'coal' 'coal'],coal
17,"['acrylonitrile butadiene' 'nitrile rubber' 'styrene butadiene'
 'polu butadiene acrylonitrile']",acrylonitrile butadiene
18,"['n vinylpyrrolidone vinyl acetate' 'polyvinylpyrrolidone'
 'nitrocellulose' 'Nitrocellulose']",nitrocellulose
19,"['poly(ethylene glycol)' 'poly(ethylene oxide)' 'polyacetal'
 'polyoxymethylene']",poly(ethylene glycol)
20,['silica gel lab' 'quartz sand lab' 'quartz sand beach'],silica
21,['polylactic acid' 'polylactic acid' 'fibre polyactide'],polylactic acid
22,['poly(p phenylene ether sulphone)' 'polysulfone' 'polyphenylsulfone'],polysulfone
23,['poly(vinyl butyral)' 'polychloroprene' 'polyethylene chlorosulfonated'],polychloroprene
24,['chitin cancer pagurus' 'Plumbers tape sealing putty'],chitin
25,['aramid' 'aramid'],aramid
26,"['phenoxy resin' ""poly(4 4' dipropoxy 2 2' diphenyl propane fumarate)""]",phenoxy resin
27,['poly(vinylidene fluoride)' 'fibre polyvinylidene fluoride'],polyvinylidene fluoride
28,['polyacrylamide' 'polyacrylamide carboxyl modified'],polyacrylamide
29,['1 2 polybutadiene'],polybutadiene
30,['poly(2 4 6 tribromostyrene)'],poly(2 4 6 tribromostyrene)
31,['poly(2 6 dimethyl p phenylene oxide)'],poly(2 6 dimethyl p phenylene oxide)
32,['poly(phenylene sulfide)'],poly(phenylene sulfide)
33,['fibre polyetheretherketone'],polyetheretherketone
